CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41029002400,Oregon,Jackson,2074,973,1101,9.5,81.0,0.0,0.6,1.1,0.0,1646,49485.0,9751.0,29388.0,4716.0,12.2,13.4,40.3,19.0,19.9,16.4,4.4,72.0,6.9,5.1,2.7,4.6,8.7,20.4,904,65.6,13.6,19.0,1.8,10.4
41029002500,Oregon,Jackson,2584,1307,1277,1.4,91.8,0.9,1.9,1.3,1.4,2157,66652.0,8348.0,39197.0,9156.0,9.8,0.3,52.5,12.0,20.7,10.0,4.9,71.8,10.5,0.0,4.4,0.3,13.0,26.2,1025,58.8,15.7,25.5,0.0,8.6
41029002600,Oregon,Jackson,2632,1362,1270,3.6,92.3,0.0,0.8,0.0,0.0,2156,43458.0,9127.0,22041.0,2404.0,17.7,22.5,28.0,19.1,27.9,13.0,12.1,81.8,6.9,0.5,2.8,3.4,4.6,31.5,908,71.7,18.3,8.8,1.2,14.3
41029002700,Oregon,Jackson,6539,3149,3390,5.0,91.1,0.8,0.9,0.0,0.0,5380,38121.0,4526.0,22178.0,2794.0,17.9,17.2,29.0,15.2,30.5,13.3,12.0,75.0,13.7,0.0,3.4,0.0,7.8,29.7,2430,67.2,19.4,13.4,0.0,13.5
41029002800,Oregon,Jackson,5139,2618,2521,11.5,82.4,0.1,0.7,0.5,0.0,4120,56141.0,8151.0,26236.0,3524.0,11.4,22.7,26.4,16.4,29.0,15.2,13.0,74.2,11.4,0.7,1.4,0.3,12.1,23.4,2204,70.3,16.2,13.5,0.0,13.4
41029002900,Oregon,Jackson,7509,3969,3540,8.6,88.2,0.1,0.8,0.7,0.0,6435,39148.0,5830.0,22720.0,2203.0,16.9,32.8,21.3,17.9,30.5,14.8,15.6,77.9,8.7,1.6,3.1,2.2,6.5,28.0,2732,71.5,12.4,16.0,0.0,10.6
41029003001,Oregon,Jackson,3740,1791,1949,3.0,95.7,0.0,0.0,0.0,0.0,3266,47108.0,6254.0,27339.0,2489.0,10.1,10.6,34.8,17.6,24.4,15.8,7.4,75.6,8.1,0.0,2.1,4.5,9.8,28.5,1572,67.0,21.2,11.8,0.0,10.5
41029003002,Oregon,Jackson,4656,2109,2547,1.3,97.6,0.5,0.6,0.0,0.0,3614,41172.0,16871.0,25220.0,5099.0,28.5,48.7,36.5,19.3,22.7,12.6,8.9,71.6,9.8,0.0,1.7,3.5,13.5,27.1,1655,67.8,15.0,17.2,0.0,7.3
41031940000,Oregon,Jefferson,3579,1804,1775,12.1,5.1,1.3,77.3,0.2,2.6,2293,44612.0,6038.0,12674.0,1386.0,34.2,46.2,26.7,26.2,16.6,12.9,17.6,81.2,14.0,0.3,1.1,1.0,2.4,10.3,1126,53.9,44.3,1.8,0.0,27.4
41031960100,Oregon,Jefferson,2398,1485,913,13.1,79.6,2.5,2.6,0.2,0.0,1991,49659.0,13201.0,23937.0,7176.0,13.8,11.4,40.1,12.4,18.6,16.9,12.0,65.4,8.3,1.1,11.7,3.1,10.4,18.0,785,67.1,19.2,13.6,0.0,7.2
41031960201,Oregon,Jefferson,3349,1663,1686,41.0,50.6,0.0,7.5,0.1,0.0,1938,36350.0,9061.0,14444.0,1901.0,24.0,26.4,18.3,22.6,25.9,11.9,21.4,66.1,15.7,0.0,7.1,5.7,5.4,18.9,1419,79.9,14.8,5.3,0.0,18.2
41031960202,Oregon,Jefferson,4999,2456,2543,25.7,64.2,0.0,5.0,2.8,0.2,3547,45688.0,7943.0,26010.0,7632.0,19.5,31.2,20.7,23.2,15.3,15.8,25.0,82.1,10.7,0.8,3.3,2.4,0.6,15.3,1853,69.3,24.1,6.6,0.0,9.5
41031960301,Oregon,Jefferson,3291,1685,1606,0.9,94.8,1.0,2.9,0.1,0.0,2811,48908.0,3938.0,26598.0,3609.0,14.3,41.6,31.6,14.0,35.7,9.5,9.3,78.5,10.1,0.0,1.0,5.9,4.6,31.8,1067,80.1,9.4,10.5,0.0,11.1
41031960302,Oregon,Jefferson,4445,2220,2225,20.0,73.2,1.3,1.4,0.3,0.3,3235,50755.0,4655.0,22970.0,2256.0,15.4,25.7,28.6,22.4,21.5,13.8,13.7,77.4,15.4,0.1,2.4,1.0,3.8,24.3,1917,67.7,25.9,5.8,0.6,11.5
41033360100,Oregon,Josephine,2382,1166,1216,2.7,90.3,0.1,0.9,0.2,1.8,1856,36029.0,5470.0,19466.0,3084.0,24.5,42.2,29.2,28.8,10.2,13.4,18.5,81.5,7.5,0.9,2.3,0.9,6.9,25.9,688,82.0,6.3,11.8,0.0,13.2
41033360300,Oregon,Josephine,5571,2683,2888,0.1,94.8,0.0,1.1,1.2,0.0,4729,43773.0,9876.0,21630.0,2509.0,12.6,8.2,29.2,26.9,21.2,8.0,14.7,81.0,8.9,0.0,0.0,0.0,10.1,25.3,2053,75.4,10.6,14.0,0.0,16.0
41033360400,Oregon,Josephine,3983,1996,1987,9.1,87.5,0.4,0.5,1.0,0.0,3326,56250.0,12695.0,32067.0,6074.0,12.2,14.8,34.3,16.0,26.9,10.4,12.4,83.1,7.5,0.0,1.4,3.9,4.2,19.0,1369,70.5,16.4,13.1,0.0,13.0
41033360500,Oregon,Josephine,6470,3166,3304,10.7,81.0,0.2,1.1,0.4,0.2,4417,26098.0,3777.0,13985.0,1795.0,33.0,55.3,29.2,17.4,24.9,6.5,22.1,78.5,8.0,1.1,3.3,2.7,6.6,12.8,1844,75.5,8.8,15.7,0.0,17.4
41033360600,Oregon,Josephine,6677,3207,3470,5.1,87.0,0.5,3.1,0.3,0.0,5181,44740.0,5264.0,28547.0,10000.0,19.0,20.3,39.2,20.5,24.6,6.1,9.7,83.9,4.3,0.9,2.6,5.1,3.3,15.5,2687,76.2,13.6,9.3,0.9,6.8
41033360701,Oregon,Josephine,4171,1850,2321,8.2,84.3,1.5,2.2,0.4,0.0,3250,30226.0,3816.0,14997.0,1588.0,28.2,30.8,21.9,19.7,35.5,5.5,17.5,81.2,9.8,0.8,5.4,1.9,0.8,16.7,1760,90.8,6.3,3.0,0.0,9.5
41033360702,Oregon,Josephine,5512,2501,3011,14.0,79.8,0.3,0.7,3.1,0.0,4197,30815.0,2026.0,22782.0,4133.0,17.5,14.5,19.4,20.9,26.7,9.3,23.7,91.5,4.7,0.0,0.6,1.6,1.6,13.6,2060,81.5,12.5,6.0,0.0,5.5
41033360800,Oregon,Josephine,4874,2501,2373,9.5,88.6,0.0,0.9,0.2,0.0,4026,45450.0,12568.0,25781.0,4731.0,18.4,39.2,23.7,14.9,30.1,16.7,14.6,84.9,6.7,0.0,3.0,2.3,3.1,25.1,1604,81.1,13.0,5.9,0.0,10.3
41033360900,Oregon,Josephine,2516,1301,1215,6.6,84.1,0.0,1.4,1.4,0.0,2038,48406.0,10140.0,21729.0,3484.0,23.8,41.4,28.2,6.2,20.4,16.0,29.2,82.5,6.3,0.0,0.0,3.2,8.0,31.0,631,84.9,5.5,9.5,0.0,21.8
